Time,Latitude,Longitude,Altitude,Speed
2023-11-14 09:05:15.840000+00:00,39.77873265,-86.172008783,209.5,18.269
2023-11-14 09:05:17.840000+00:00,39.778624117,-86.1719232,212.8,6.012
2023-11-14 09:05:18.840000+00:00,39.77857535,-86.171899433,214.7,5.785
2023-11-14 09:05:20.840000+00:00,39.77859,-86.172077967,216.7,5.189
2023-11-14 09:05:22.840000+00:00,39.77859,-86.172077967,n/a,n/a
2023-11-14 09:05:23.840000+00:00,39.77859,-86.172077967,n/a,n/a
2023-11-14 09:05:25.840000+00:00,39.7787051,-86.172102517,221.8,11.142
2023-11-14 09:05:26.840000+00:00,39.778677783,-86.17221235,221.8,9.886
2023-11-14 09:05:28+00:00,39.778645233,-86.17221045,221.3,3.119
2023-11-14 09:05:29+00:00,39.778617433,-86.172168233,220.6,4.755
2023-11-14 09:05:30+00:00,39.778617433,-86.172168233,220.1,0.0
2023-11-14 09:05:32+00:00,39.778617433,-86.172168233,220.2,0.0
2023-11-14 09:05:34+00:00,39.778617433,-86.172168233,220.1,0.0
2023-11-14 09:05:35+00:00,39.778617433,-86.172168233,219.8,0.0
