UE_ID,SNR,EMA_SNR,RSRP,EMA_RSRP,Noise_Power,RX_Full_Secs,RX_Frac_Secs,RSSI,RX_Gain
3,26.808729,2.680873,-43.648964,-4.364896,0.050556,19,0.712500,-22.853172,17.000000
3,26.721300,5.084916,-43.581127,-8.286519,0.052400,19,0.787501,-22.800463,17.000000
3,26.744574,7.250881,-33.192745,-10.777142,0.569934,19,0.862501,-12.412292,28.000000
1,27.657185,2.765718,-36.780125,-3.678012,0.208831,36,0.630503,-15.968640,50.000000
1,27.282524,5.217399,-36.397411,-6.949952,0.248440,37,0.620504,-15.580721,50.000000
3,11.854378,7.711231,-20.832895,-11.782717,276.441376,38,0.652504,-0.015554,50.000000
1,25.287342,7.224393,-35.266735,-9.781631,0.510406,38,0.659504,-14.500938,50.000000
3,12.903287,8.230436,-20.561312,-12.660576,241.327606,39,0.678504,0.284056,50.000000
1,27.203831,9.222337,-35.504929,-12.353960,0.310854,39,0.685504,-14.710023,50.000000
3,13.544662,8.761859,-20.392111,-13.433729,218.524902,40,0.692504,0.271048,50.000000
1,27.679649,11.068068,-37.366459,-14.855210,0.181523,40,0.700504,-16.630274,50.000000
3,14.398559,9.325529,-20.071577,-14.097514,194.310867,41,0.718504,0.409033,50.000000
1,28.109077,12.772168,-35.480526,-16.917742,0.253592,41,0.725504,-14.723124,50.000000
3,14.754811,9.868458,-19.847265,-14.672489,188.578812,42,0.732504,1.109999,50.000000
1,27.801178,14.275069,-37.228943,-18.948862,0.182561,42,0.739505,-16.437899,50.000000
3,11.984527,10.080065,-20.173117,-15.222552,322.320465,43,0.758505,0.494690,50.000000
1,27.147398,15.562302,-38.463863,-20.900362,0.159594,43,0.765505,-17.721981,50.000000
1,27.561659,16.762238,-36.843121,-22.494638,0.210638,44,0.793505,-16.033991,50.000000
1,27.648575,17.850872,-36.574738,-23.902649,0.219394,45,0.819505,-15.754416,50.000000
1,27.616415,18.827427,-36.672264,-25.179611,0.215941,46,0.845505,-15.934027,50.000000
3,14.034277,10.475486,-20.847040,-15.785001,175.763016,47,0.853505,0.096369,50.000000
1,27.268024,19.671486,-36.951797,-26.356831,0.219227,47,0.860505,-16.164761,50.000000
1,28.208889,20.525227,-37.815910,-27.502739,0.145194,48,0.887506,-17.052914,50.000000
1,27.412273,21.213932,-38.167572,-28.569221,0.160727,49,0.913506,-17.424229,50.000000
1,27.689297,21.861469,-37.602810,-29.472580,0.171661,50,0.940506,-16.859255,50.000000
1,26.287165,22.304039,-36.719112,-30.197233,0.290255,51,0.953506,-15.944954,50.000000
1,26.537729,22.727407,-36.885853,-30.866095,0.263553,52,0.979506,-16.060577,50.000000
1,27.565144,23.211182,-36.971272,-31.476612,0.203868,54,0.018507,-16.170115,50.000000
3,14.220337,10.849971,-20.273283,-16.233829,193.025238,56,0.052507,0.438036,50.000000
1,27.507401,23.640804,-37.361210,-32.065071,0.189258,56,0.072507,-16.565012,50.000000
3,14.373235,11.202297,-20.046274,-16.615074,196.616089,57,0.078507,0.457125,50.000000
1,27.570194,24.033743,-38.370132,-32.695576,0.147861,57,0.085507,-17.545870,50.000000
1,27.570118,24.387381,-38.130138,-33.239033,0.156181,58,0.100507,-17.314619,50.000000
1,27.113075,24.659950,-36.395622,-33.554691,0.258478,59,0.127507,-15.608883,50.000000
1,27.176394,24.911594,-37.458752,-33.945099,0.199243,60,0.153508,-16.679880,50.000000
1,26.697823,25.090218,-37.200653,-34.270653,0.235761,61,0.180508,-16.430798,50.000000
1,27.411863,25.322382,-37.301521,-34.573738,0.196128,62,0.193508,-16.519772,50.000000
1,27.259670,25.516111,-37.334995,-34.849865,0.201480,63,0.219508,-16.510830,50.000000
1,28.385151,25.803015,-37.887653,-35.153645,0.136902,64,0.245508,-17.148148,50.000000
1,25.850279,25.807741,-37.057068,-35.343987,0.296555,65,0.273508,-16.283764,50.000000
1,27.508663,25.977833,-37.506756,-35.560265,0.182553,66,0.299509,-16.685711,50.000000
1,26.384914,26.018541,-37.225449,-35.726784,0.251991,67,0.313509,-16.452465,50.000000
1,28.025627,26.219250,-37.464859,-35.900593,0.164139,68,0.340509,-16.716555,50.000000
3,14.621301,11.544197,-19.914076,-16.944975,191.330063,69,0.372509,0.876966,50.000000
1,27.278484,26.325172,-36.941700,-36.004704,0.219680,69,0.379509,-16.151703,50.000000
1,27.560560,26.448711,-36.979218,-36.102154,0.204084,70,0.368509,-16.180187,50.000000
1,27.053530,26.509193,-36.940556,-36.185993,0.231130,71,0.382510,-16.157135,50.000000
1,27.492922,26.607567,-37.491291,-36.316525,0.183927,72,0.383510,-16.647823,50.000000
1,26.789845,26.625795,-36.839630,-36.368835,0.251084,73,0.397510,-16.070719,50.000000
3,14.311297,11.820908,-20.077738,-17.258251,197.861404,74,0.428510,0.425713,50.000000
1,27.517660,26.714981,-37.311844,-36.463135,0.190744,74,0.435510,-16.497744,50.000000
1,27.452209,26.788704,-37.105789,-36.527401,0.202905,75,0.450510,-16.346863,50.000000
1,27.442154,26.854050,-37.341110,-36.608772,0.192482,76,0.464510,-16.504175,50.000000
1,27.400625,26.908707,-36.983543,-36.646248,0.211657,77,0.503511,-16.179504,50.000000
3,14.175407,12.056357,-19.842813,-17.516708,215.264557,78,0.523511,1.211485,50.000000
1,27.585575,26.976393,-36.843357,-36.665958,0.209408,78,0.530511,-16.050209,50.000000
3,14.837888,12.334511,-20.572794,-17.822317,156.748657,79,0.537511,0.067575,47.000000
1,27.798506,27.058603,-40.132801,-37.012642,0.093457,79,0.544511,-19.386267,47.000000
3,15.156443,12.616704,-21.000837,-18.140169,132.158447,80,0.563511,-0.220789,47.000000
1,27.496315,27.102375,-40.075821,-37.318958,0.101430,80,0.570511,-19.257004,47.000000
3,15.348277,12.889861,-20.455469,-18.371698,143.956390,81,0.577511,0.129213,47.000000
1,27.608791,27.153017,-40.376877,-37.624748,0.092156,81,0.584511,-19.605902,47.000000
3,15.674039,13.168279,-20.883192,-18.622849,120.879135,82,0.603512,-0.120121,47.000000
1,27.124416,27.150158,-39.579731,-37.820248,0.123738,82,0.610512,-18.768970,47.000000
1,27.501822,27.185324,-40.114159,-38.049637,0.100579,83,0.637512,-19.311388,47.000000
1,26.726200,27.139412,-40.320442,-38.276718,0.114542,84,0.663512,-19.559174,47.000000
1,26.423786,27.067850,-40.255669,-38.474613,0.124588,85,0.690512,-19.477493,47.000000
1,26.612717,27.022337,-40.266674,-38.653820,0.118946,86,0.704512,-19.473688,47.000000
1,27.358789,27.055983,-40.741261,-38.862564,0.089724,87,0.730512,-19.908895,47.000000
1,27.044981,27.054882,-40.041458,-38.980453,0.113233,88,0.758513,-19.265272,47.000000
1,28.033159,27.152710,-40.360256,-39.118435,0.084107,89,0.784513,-19.534956,47.000000
1,27.885094,27.225948,-39.933163,-39.199909,0.095971,90,0.810513,-19.125587,47.000000
1,26.807560,27.184109,-38.044140,-39.084332,0.189807,91,0.824513,-17.234735,49.000000
1,27.173386,27.183037,-38.002792,-38.976177,0.176018,92,0.850513,-17.240084,49.000000
1,27.029823,27.167715,-38.275406,-38.906101,0.170761,93,0.877514,-17.536922,49.000000
1,27.339773,27.184921,-38.134579,-38.828949,0.164138,94,0.903514,-17.321474,49.000000
3,13.963359,13.247787,-20.338121,-18.794376,200.831116,95,0.901253,0.268938,49.000000
1,27.952108,27.261641,-38.130184,-38.759071,0.142953,95,0.908252,-17.375610,49.000000
3,13.559280,13.278936,-20.683451,-18.983284,203.101593,96,0.915253,0.065466,49.000000
1,28.072891,27.342766,-38.150154,-38.698181,0.138281,96,0.922253,-17.333862,49.000000
1,27.735195,27.382010,-38.153053,-38.643669,0.149327,97,0.911253,-17.330008,49.000000
3,13.701760,13.321218,-20.464495,-19.131405,207.595169,98,0.930253,0.199686,49.000000
1,27.610512,27.404860,-38.100307,-38.589333,0.155732,98,0.937253,-17.298725,49.000000
1,27.313265,27.395700,-37.976379,-38.528038,0.171446,99,0.952253,-17.202412,49.000000
1,27.385405,27.394670,-37.870625,-38.462296,0.172605,100,0.978253,-17.086313,49.000000
1,27.481453,27.403349,-37.982681,-38.414333,0.165104,102,0.005254,-17.215769,49.000000
1,27.204592,27.383472,-38.178890,-38.390789,0.168056,103,0.031254,-17.428156,49.000000
1,25.480686,27.193193,-37.939445,-38.345654,0.263671,104,0.057254,-17.171812,49.000000
1,27.368576,27.210732,-37.969151,-38.308002,0.169644,105,0.083254,-17.170408,49.000000
3,14.501812,13.439278,-20.200964,-19.238361,184.374222,106,0.091254,0.452795,49.000000
1,27.576017,27.247261,-38.356861,-38.312889,0.147769,106,0.098254,-17.537573,49.000000
